aa: aa
abb: abb
absorption: absorption
abstract: abstract
abundance: abundance
abundant: abundant
access: access
accord: according
across: across
act: act
action: action
ad: ad
add: add added
addition: addition
additive: additive
address: address
admixture: admixture
ae: ae
aer: aer
age: age
agent: agent
aggregate: aggregate
aid: aid
aim: aim
ait: ait
alert: alert
almost: almost
alongside: alongside
also: also
alteration: alteration
ami: ami
among: among
amorphous: amorphous
analyzer: analyzer
apart: apart
ape: ape
application: application
apply: applied
approximately: approximately
archive: archive
area: area
article: article
ascertain: ascertain
ash: ash
atmospheric: atmospheric
atomic: atomic
attack: attack
attain: attain
attributable: attributable
attribution: attribution
available: available
average: average
ball: ball
base: base based
basically: basically
become: become
becomes: becomes
behaviour: behaviour
belong: belong
best: best
beyond: beyond
binder: binder
board: board
break: break
building: building
calcium: calcium
carry: carried
case: case
cast: casting
ce: ce
cell: cell
cement: cement
characterization: characterization
chemical: chemical
choice: choice
cite: cite
civil: civil
clean: clean
coconut: coconut
common: commons
company: company
complex: complex
composition: composition
compound: compound
compression: compression
compressive: compressive
concentration: concentration
concrete: concrete
consequence: consequence
consider: considered
consistency: consistency
consistent: consistent
contact: contact
content: content
contribute: contribute
control: control
conventional: conventional
copyright: copyright
corn: corn
corrosion: corrosion
cost: cost
could: could
country: country
couple: coupled
course: course
crack: cracking
creative: creative
creep: creep
crush: crushed
crystal: crystal
crystallographic: crystallographic
crystallography: crystallography
cure: curing
customer: customer
data: data
day: days
declare: declare
degree: degree
densification: densification
density: density
derive: derived
design: design
desire: desired
detection: detection
determinant: determinant
determine: determine determined
development: development
difference: difference
different: different
diffraction: diffraction
diffractometer: diffractometer
digital: digital
disclaimer: disclaimer
discussion: discussion
distribution: distribution
do: done
dry: dried dry
due: due
durability: durability
edition: edition
editorial: editorial
effect: effect effects
effective: effective
efficiency: efficiency
elasticity: elasticity
element: element
elemental: elemental
emma: emma
energy: energy
engineering: engineering
enhance: enhance enhanced
environment: environment
environmental: environmental
equal: equal
especially: especially
essential: essential
establish: establish established
ethic: ethics
evaluation: evaluation
even: even
example: example
excess: excess
exchange: exchange
experienced: experienced
explore: exploring
extension: extension
extract: extracted
fa: fa
fact: fact
factor: factor
failure: failure
far: far
figure: figure
file: file
finally: finally
fine: fine
fire: fire
fly: fly flying
