aa: aa
abb: abb
abstract: abstract
academic: academic
access: access
act: act
ad: ad
add: add
address: address
ae: ae
aer: aer
agarwal: agarwal
aid: aid
aim: aim
ait: ait
alert: alert
ami: ami
ape: ape
approach: approach
archive: archive
article: article
atomic: atomic
attribution: attribution
barragan: barragan
basic: basic
berlin: berlin
board: board
ce: ce
chain: chain
cite: cite
common: commons
computation: computation
consider: considered
contact: contact
contemporary: contemporary
copyright: copyright
creative: creative
customer: customer
de: de
decay: decay
declare: declare
decoherence: decoherence
dependence: dependence
detection: detection
different: different
disclaimer: disclaimer
dynamical: dynamical
editorial: editorial
energy: energy
entangle: entangled
environment: environment
ethic: ethics
explore: exploring
file: file
find: find
follow: follow
form: formed
foundation: foundation
free: free
frequently: frequently
function: function
guideline: guideline
health: health
history: history
home: home
id: id
index: indexing
information: information
interest: interest
international: international
issue: issue
journal: journal
lecture: lecture
library: library
license: license licensed
linear: linear
login: login
look: look
magnetic: magnetic
make: made
manuscript: manuscript
mathematical: mathematical
mathematics: mathematics
menu: menu
mi: mi
modern: modern
molecular: molecular
news: news
open: open
optic: optics
optical: optical
paper: paper
physic: physics
physical: physical
policy: policy
possible: possible
preservation: preservation
press: press
privacy: privacy
proofread: proofreading
pst: pst
psych: psych
publication: publication
quantum: quantum
quits: quits
receive: receive
recommend: recommend
regular: regular
related: related
research: research
reserve: reserved
resonance: resonance
retraction: retraction
review: review
san: san
sar: sar
science: science
scientific: scientific
scope: scope
select: select
semiclassical: semiclassical
separation: separation
service: service
share: share
significant: significant
soft: soft
special: special
springer: springer
statement: statement
study: study
subject: subject
submit: submit
subscription: subscription
system: system
thee: thee
theory: theory
three: three
ti: ti
today: today
top: top
translation: translation
two: two
type: type
university: university
us: us
vol: vol
volume: volume
wet: wet
work: work
ym: ym
